Tweet ID, Author ID, Date Published, Tweet Text
1865076108829560886,572852870,2024-12-06T16:49:30.000Z,"Another #Democrat indicted.  @dchase @davidhogg111 @EricSchultz @JoshSchwerin @libradunn @JesseFFerguson @ZacMcCrary @mattyglesias @megmeedra @davidsirota @justindotnet @coshea2 @keithboykin @christyNHC @melissadderosa @christysetzer @chrislehane @mintimm @VanJones68… https://t.co/5ZAX1hLNMA https://t.co/YhtLuD6A0k"
1865072712508469268,1518791050319515649,2024-12-06T16:36:00.000Z,"@BarackObama @ObamaFoundation I suppose this is a good start for the #democrat groups, as the hate they spread during this past election lead to multiple assassination attempts on their political opponent. 🤨"Pluralism", or "Practice What You Preach", or whatever you want to call it."
1865070774442225872,1321263262927851521,2024-12-06T16:28:18.000Z,"@nicksortor @libsoftiktok @BOSCityCouncil They need to drop the hammer on all these #democrat criminals"
1865070592623251466,1021917609049169920,2024-12-06T16:27:35.000Z,"The only way this makes sense is if #Obama is calling out the #democrat party…which would be astounding 😳  https://t.co/sD6XrFEOaj"
1865069596987847023,836709230,2024-12-06T16:23:37.000Z,"Typical #Democrat...a LIAR! https://t.co/SdcAiKCacQ"
1865065013074870334,862786245658804224,2024-12-06T16:05:25.000Z,"FBI arrests Boston City Councilor Tania Fernandes Anderson on public corruption charges https://t.co/bjNLZKV2tk #FoxNews No surprise. She’s a #Democrat! #CNN #MSNBC #FoxNews @BostonGlobe @7News @bostonpolice"
1865061672051740796,836709230,2024-12-06T15:52:08.000Z,"Typical corrupt #Democrat. https://t.co/8IWQPo3WGA"
1865059408327201089,1291139356875513858,2024-12-06T15:43:08.000Z,"When have you seen ANY liberal politician do something like this? #never #fkin #democrat  https://t.co/E2GrUIRib3 #AmericasBestPicsAndVideos"
1865057800956842377,19580451,2024-12-06T15:36:45.000Z,"#FBI arrests #Boston City Councilor #TaniaFernandesAnderson on public corruption charges. Another corrupt #democrat.  https://t.co/5RlFmDXFCc"
1865057733088608610,150116475,2024-12-06T15:36:29.000Z,"#FACT I did not vote #Democrat this election and probably never will again.  Unless, UNLESS , current president pardons every ngga in prison on non trafficking marijuana charges."
